college_img,college_name,college_loc,college_course,college_fees,Minority,Open,AllIndia
"https://images.static-collegedunia.com/public/college_data/images/appImage/1512732923FGGGGBHNBVKJHBK.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NMIMS Balwant Sheth School of Architecture - [BSSA], Mumbai","Mumbai, Maharashtra",B.Arch ,"2,515,0",0,127.73,137.84
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498117472ccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","SMEF’s Brick School of Architecture, Pune","Pune, Maharashtra",B.Arch ,"1,36,000",0,112.19,125.64
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498199525ccccccccccccccc.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","School of Environment and Architecture - [SEA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,70,000",0,122.55,129.54
"https://images.static-collegedunia.com/public/college_data/images/appImage/5537_1445346414ASMITAARCH_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Asmita College of Architecture, Thane","Thane, Maharashtra",B.Arch ,"1,20,000",0,126.21,134.41
"https://images.static-collegedunia.com/public/college_data/images/appImage/5573_DRHIRARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr Baliram Hiray College of Architecture, Mumbai","Mumbai, Maharashtra",B.Arch ,"91,000,",0,130.42,116.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/5527_AIAM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Academy of Architecture - [AIA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,70,000",0,124.21,120.27
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498037238cccavbsdh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","S.B. Patil College of Architecture and Design - [SBPCOAD], Pune","Pune, Maharashtra",B.Arch ,"1,18,000",0,157.23,114.58
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498195391timthumb.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Samyak Sankalpa College of Architecture, Thane","Thane, Maharashtra",B.Arch ,"75,000,",0,128.25,131.09
"https://images.static-collegedunia.com/public/college_data/images/appImage/5695_VSA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Viva School of Architecture - [VSA], Palghar","Palghar, Maharashtra",B.Arch ,"1,30,600",90.06,116.17,123.93
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497424580ccccccccccccccccccccccccccccc.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Pillai HOC College of Architecture - [PHCOA] Rasayani, Raigarh","Raigarh, Maharashtra",B.Arch ,"1,17,000",0,139.34,141.66
"https://images.static-collegedunia.com/public/college_data/images/appImage/1623996642coarcpunehomepage.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth College of Architecture - [BVCOA] Navi Mumbai, Mumbai","Mumbai, Maharashtra",B.Arch ,"1,00,000",0,129.72,130.44
"https://images.static-collegedunia.com/public/college_data/images/appImage/1497598692KP549bad9a0d2a0.jpeg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Trinity College of Architecture - [TCOA], Pune","Pune, Maharashtra",B.Arch ,"1,27,000",0,128.49,151.76
"https://images.static-collegedunia.com/public/college_data/images/appImage/5690_TGPCA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Tulsiramji Gaikwad-Patil College of Architecture - [TGPCA], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,15,000",0,155.68,130.21
"https://images.static-collegedunia.com/public/college_data/images/appImage/5644_PRPATILACOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","PR Patil College of Architecture, Amravati","Amravati, Maharashtra",B.Arch ,"90,000,",0,129.69,131.38
"https://images.static-collegedunia.com/public/college_data/images/appImage/5576_DYPATILARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. DY Patil School of Architecture Charholi, Pune","Pune, Maharashtra",B.Arch ,"1,22,640",0,144.97,143.91
"https://images.static-collegedunia.com/public/college_data/images/appImage/1498203192dddddddddddddddddddddddddddddddddddddddddddd.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt. K.L. Tiwari College of Architecture - [SKLTCA], Palghar","Palghar, Maharashtra",B.Arch ,"1,47,000",92.62,151.69,131.63
"https://images.static-collegedunia.com/public/college_data/images/appImage/5618_ACOARCH_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","MCE Society's Allana College of Architecture, Pune","Pune, Maharashtra",B.Arch ,"1,65,000",0,147.71,136.24
"https://images.static-collegedunia.com/public/college_data/images/appImage/158489668815142SAENEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt. Kashibai Navale College of Architecture, Pune","Pune, Maharashtra",B.Arch ,"1,57,152",0,121.78,130.51
"https://images.static-collegedunia.com/public/college_data/images/appImage/1496640873SDW.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Oyster College of Architecture, Aurangabad","Aurangabad, Maharashtra",B.Arch ,"85,000",0,121.49,129.87
"https://images.static-collegedunia.com/public/college_data/images/appImage/5659_RSDCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rajaram Shinde Degree College of Architecture, Ratnagiri","Ratnagiri, Maharashtra",B.Arch ,"2,40,000",0,138.18,146.15
"https://images.static-collegedunia.com/public/college_data/images/appImage/5614_LSBAPURAOJICOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bapuraoji Deshmukh Degree College of Architecture, Wardha","Wardha, Maharashtra",B.Arch ,"44,791",0,137.22,111.13
"https://images.static-collegedunia.com/public/college_data/images/appImage/5645_1446531303DRDYPATILCOA_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil College of Architecture Akurdi, Pune","Pune, Maharashtra",B.Arch ,"93,082,",0,139.38,126.22
"https://images.static-collegedunia.com/public/college_data/images/appImage/5646_1439969496Selection_096 (1).jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr DY Patil College of Architecture, Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,39,500",0,132.16,133.53
"https://images.static-collegedunia.com/public/college_data/images/appImage/5675_SUCOA_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Prince Shivaji Maratha Boarding House's College of Architecture, Kolhapur","Kolhapur, Maharashtra",B.Arch ,"1,32,000",0,139.43,133.86
"https://images.static-collegedunia.com/public/college_data/images/appImage/157915451120190309085317810x350c.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Vivekanand Education Society's College of Architecture - [VESCOA], Mumbai","Mumbai, Maharashtra",B.Arch ,"1,25,000",0,129.91,123.96
"https://images.static-collegedunia.com/public/college_data/images/appImage/25718_1464177439b8xxd0nb9irvkgv8dhgu.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil University, Navi Mumbai","Mumbai, Maharashtra",B.Arch ,"1,39,500",99.06,134.26,128.52
"https://images.static-collegedunia.com/public/college_data/images/appImage/16147721421.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai","Mumbai, Maharashtra",B.Arch ,"5,03,000",0,143.91,125.13
"https://images.static-collegedunia.com/public/college_data/images/appImage/25733_VNIT_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Visvesvaraya National Institute of Technology - [VNIT], Nagpur","Nagpur, Maharashtra",B.Arch ,"1,51,500",0,130.31,116.16
"https://images.static-collegedunia.com/public/college_data/images/appImage/1509454461cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mumbai University - [MU], Mumbai","Mumbai, Maharashtra",B.Arch ,,0,122.94,124.5
"https://images.static-collegedunia.com/public/college_data/images/appImage/1503566414147288295925721RSTMApp.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Rashtrasant Tukadoji Maharaj Nagpur University - [RTMNU], Nagpur","Nagpur, Maharashtra",B.Arch ,"58,590,",0,125.27,126.1
"https://images.static-collegedunia.com/public/college_data/images/appImage/1595829786EgnColgPic.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University - [BVDU], Pune","Pune, Maharashtra",B.Arch ,"1,10,000",0,123.48,120.44
"https://images.static-collegedunia.com/public/college_data/images/appImage/1508137794cvr.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shivaji University - [SUK], Kolhapur","Kolhapur, Maharashtra",B.Arch ,,0,115.67,153.48
